Model,Prompt,ImagePath,OverallRating(1-5),Notes
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_01_seed1000.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_02_seed1001.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_03_seed1002.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_04_seed1003.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_05_seed1004.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_06_seed1005.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_07_seed1006.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_08_seed1007.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_09_seed1008.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_10_seed1009.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_11_seed1010.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_12_seed1011.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_13_seed1012.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_14_seed1013.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_15_seed1014.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_16_seed1015.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_17_seed1016.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_18_seed1017.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_19_seed1018.png,,
baseline,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/baseline/baseline_20_seed1019.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_01_seed2000.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_02_seed2001.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_03_seed2002.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_04_seed2003.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_05_seed2004.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_06_seed2005.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_07_seed2006.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_08_seed2007.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_09_seed2008.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_10_seed2009.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_11_seed2010.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_12_seed2011.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_13_seed2012.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_14_seed2013.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_15_seed2014.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_16_seed2015.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_17_seed2016.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_18_seed2017.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_19_seed2018.png,,
lora,floral paisley vines embroidery,/content/cultural-heritage-ai/evaluation/lora/lora_20_seed2019.png,,
